,Name,FixedByID,count
308,area-mvc| question,javiercn,7
309,area-mvc| question,mkartakmsft,2
310,area-mvc| question,ntaylormullen,2
311,area-mvc| question,pranavkm,13
312,area-mvc| question,ryanbrandenburg,5
313,area-mvc| question,rynowak,4
314,area-mvc| question,stevesandersonms,1
315,area-mvc| question,unknown,85
316,area-mvc| task,dougbu,1
317,area-mvc| task,jkotalik,1
318,area-mvc| task,unknown,11
319,area-mvc| task| test-failure,javiercn,1
320,area-mvc| tell-mode| test-failure,mkartakmsft,1
321,area-platform,anurse| haok,1
322,area-platform,davidfowl,1
323,area-platform,natemcmaster,1
324,area-platform,pilchie| juntaoluo,1
325,area-platform,unknown,19
326,area-platform| blocked,anurse| pilchie,1
327,area-platform| blocked,unknown,1
328,area-platform| question,unknown,1
329,area-razor.tooling,unknown,1
330,area-razor.tooling| blocked| bug| cost xs,ntaylormullen,1
331,area-razor.tooling| cost s| feature-razor-pages| task,ntaylormullen,2
332,area-razor.tooling| enhancement,unknown,1
333,area-razor.tooling| feature-razor.vs| area-razor.tooling| feature-razor.vs,unknown,1
334,area-razor.tooling| feature| feature-razor-pages,ntaylormullen,1
335,area-razor.tooling| task,unknown,1
336,area-security,haok,2
337,area-security,juntaoluo,1
338,area-security,tratcher,1
339,area-security,unknown,64
340,area-security| breaking-change| discussion,tratcher,1
341,area-security| breaking-change| enhancement,unknown,1
342,area-security| bug,unknown,3
343,area-security| discussion,unknown,3
344,area-security| enhancement,unknown,1
345,area-security| feature-aadintegration,haok,1
346,area-security| feature-aadintegration,unknown,2
347,area-security| good first issue| help wanted,unknown,1
348,area-security| identity-ui,javiercn,1
349,area-security| question,unknown,9
350,area-servers,brennanconroy,2
351,area-servers,davidfowl,2
352,area-servers,jamesnk,1
353,area-servers,jkotalik,2
354,area-servers,sebastienros,1
355,area-servers,unknown,53
356,area-servers| area-servers,unknown,1
357,area-servers| area-signalr| epic| ?? bedrock,anurse| davidfowl,1
358,area-servers| blocked,unknown,1
359,area-servers| blocked| breaking-change| cost s| feature| feature-pipelines| servers-kestrel,unknown,1
360,area-servers| blocked| servers-iis,jkotalik,1
361,area-servers| breaking-change| cost s| servers-iis,pakrym,1
362,area-servers| breaking-change| good first issue,tratcher,1
363,area-servers| bug,davidfowl,1
364,area-servers| bug,jamesnk,1
365,area-servers| bug,jkotalik,1
366,area-servers| bug| cost m| good first issue| help wanted| servers-iis,jkotalik,1
367,area-servers| bug| cost s| feature-httpabstractions,unknown,1
368,area-servers| bug| feature-httpabstractions,jkotalik,1
369,area-servers| bug| feature-httpabstractions,unknown,2
370,area-servers| bug| investigate| servers-iis,jkotalik,1
371,area-servers| bug| servers-httpsys,unknown,2
372,area-servers| bug| servers-iis,halter73| brennanconroy,1
373,area-servers| bug| servers-iis,unknown,1
374,area-servers| certified-dope +1| help wanted| servers-kestrel,unknown,1
375,area-servers| clean-up| cost xs,unknown,1
376,area-servers| cost 0| servers-kestrel| ?? bedrock,unknown,1
377,area-servers| cost s| enhancement| servers-kestrel,unknown,1
378,area-servers| cost s| good first issue| help wanted,unknown,1
379,area-servers| cost s| investigate| servers-iis,unknown,1
380,area-servers| cost xs| enhancement| servers-kestrel,halter73,1
381,area-servers| cost xs| servers-kestrel,unknown,1
382,area-servers| discussion| servers-kestrel,unknown,1
383,area-servers| enhancement,davidfowl,1
384,area-servers| enhancement,unknown,2
385,area-servers| enhancement| servers-httpsys,unknown,2
386,area-servers| enhancement| servers-iis,unknown,3
387,area-servers| enhancement| servers-kestrel,unknown,2
388,area-servers| epic,anurse| shirhatti,1
389,area-servers| epic| servers-iis,anurse| shirhatti,1
390,area-servers| feature-httpabstractions,unknown,9
391,area-servers| good first issue| help wanted,dairai,1
392,area-servers| help wanted| servers-httpsys,unknown,2
393,area-servers| investigate,jkotalik,2
394,area-servers| investigate,tratcher,1
395,area-servers| investigate| servers-httpsys,unknown,1
396,area-servers| investigate| servers-iis,jkotalik,1
397,area-servers| investigate| servers-iis,pakrym,1
398,area-servers| investigate| servers-iis,unknown,1
399,area-servers| investigate| servers-kestrel,halter73,1
400,area-servers| perf-not-running,unknown,4
401,area-servers| perf-regression,unknown,3
402,area-servers| question,unknown,4
403,area-servers| question| servers-iis,unknown,1
404,area-servers| question| servers-kestrel,unknown,1
405,area-servers| servers-httpsys,unknown,7
406,area-servers| servers-httpsys| task,unknown,1
407,area-servers| servers-iis,anurse,1
408,area-servers| servers-iis,jkotalik,4
409,area-servers| servers-iis,pakrym,5
410,area-servers| servers-iis,unknown,34
411,area-servers| servers-iis| servers-kestrel,unknown,1
412,area-servers| servers-iis| test-failure,jkotalik,1
413,area-servers| servers-iis| test-failure,unknown,2
414,area-servers| servers-iis| triaged,unknown,1
415,area-servers| servers-kestrel,davidfowl,1
