,Name,FixedByID,count
186,azure ps team| engineering,miyanni,2
187,azure ps team| engineering,praries880,1
188,azure ps team| engineering,shahabhijeet,1
189,azure ps team| engineering,unknown,16
190,azure ps team| engineering,vladimir-shcherbakov,3
191,azure ps team| engineering| multi-sprint| netcore,miyanni,1
192,azure ps team| engineering| netcore,cormacpayne,1
193,azure ps team| engineering| netcore,markcowl,4
194,azure ps team| engineering| netcore,miyanni,2
195,azure ps team| engineering| netcore,unknown,2
196,azure ps team| engineering| pairing,markcowl,1
197,azure ps team| engineering| pull request open| second week,unknown,1
198,azure ps team| engineering| ramp up,unknown,1
199,azure ps team| engineering| second week,vladimir-shcherbakov,1
200,azure ps team| engineering| sprint candidate,maddieclayton,1
201,azure ps team| engineering| sprint candidate,unknown,2
202,azure ps team| engineering| test debt,cormacpayne,1
203,azure ps team| engineering| test tsar,unknown,1
204,azure ps team| experiment microscope,sergey-shandar,1
205,azure ps team| feature-request,cormacpayne,1
206,azure ps team| feature-request,unknown,2
207,azure ps team| first week,maddieclayton,1
208,azure ps team| first week,markcowl,1
209,azure ps team| first week,miyanni,1
210,azure ps team| first week| netcore,cormacpayne,1
211,azure ps team| first week| netcore,maddieclayton,1
212,azure ps team| first week| netcore,markcowl,1
213,azure ps team| generator| investigate mag,unknown,1
214,azure ps team| generator| multi-sprint,unknown,1
215,azure ps team| generator| multi-sprint| profiles,unknown,2
216,azure ps team| generator| p2| feature-request,wyunchi-ms,1
217,azure ps team| icm related item,cormacpayne,1
218,azure ps team| icm related item,unknown,2
219,azure ps team| icm related item| ramp up,maddieclayton,1
220,azure ps team| icm related item| ramp up,markcowl,1
221,azure ps team| investigate mag,cormacpayne,6
222,azure ps team| investigate mag,maddieclayton,1
223,azure ps team| investigate mag,markcowl,12
224,azure ps team| investigate mag,shahabhijeet,3
225,azure ps team| investigate mag,twitchax,2
226,azure ps team| investigate mag,twitchax| markcowl,1
227,azure ps team| investigate mag,unknown,16
228,azure ps team| investigate mag| feature-request,cormacpayne,1
229,azure ps team| investigate mag| monitor - activitylogs,gucalder| veryearly,1
230,azure ps team| investigate mag| more info label,artisticcheese,1
231,azure ps team| investigate mag| more info label,cormacpayne,1
232,azure ps team| investigate mag| more info label,ericbourland,1
233,azure ps team| investigate mag| more info label,tlisiecki,1
234,azure ps team| investigate mag| more info label,unknown,3
235,azure ps team| investigate mag| pairing,twitchax,1
236,azure ps team| investigate mag| recovery services| service attention,maddieclayton,1
237,azure ps team| keyvault,unknown,1
238,azure ps team| keyvault| customer-reported| feature-request,unknown,1
239,azure ps team| keyvault| more info label| customer-reported,jasonmv,1
240,azure ps team| keyvault| service attention,unknown,1
241,azure ps team| keyvault| service| feature-request| ps1xml,isra-fel,1
242,azure ps team| module bootstrapper| versioning,markcowl,1
243,azure ps team| module bootstrapper| versioning,viananth,1
244,azure ps team| more info label,abatishchev,1
245,azure ps team| more info label,ankushbindlish2,1
246,azure ps team| more info label,cefranlly,1
247,azure ps team| more info label,claudiafergus,1
248,azure ps team| more info label,d1v38om83r,1
249,azure ps team| more info label,ericbourland,1
250,azure ps team| more info label,ggirard07,1
251,azure ps team| more info label,huangpf,1
252,azure ps team| more info label,kduraira,1
253,azure ps team| more info label,markcowl,1
254,azure ps team| more info label,maximotrinidad,1
255,azure ps team| more info label,mxplusb,1
256,azure ps team| more info label,naveenkumarjagtab,1
257,azure ps team| more info label,paylocity-sflanders,1
258,azure ps team| more info label,poetzelsbergerfranz,1
259,azure ps team| more info label,sid1260,1
260,azure ps team| more info label,sndkr,1
261,azure ps team| more info label,somilganguly,1
262,azure ps team| more info label,tarjei99,1
263,azure ps team| more info label,toddrob,1
264,azure ps team| more info label,unknown,12
265,azure ps team| more info label,v-tisheg,1
266,azure ps team| more info label,wolfeno,1
267,azure ps team| more info label,xenalite,1
268,azure ps team| msal,unknown,1
269,azure ps team| multi-sprint,markcowl,1
270,azure ps team| multi-sprint,miyanni,1
271,azure ps team| multi-sprint| netcore,jasonrshaver,1
272,azure ps team| multi-sprint| netcore,markcowl,1
273,azure ps team| multi-sprint| netcore,miyanni,1
274,azure ps team| netcore,cormacpayne,4
275,azure ps team| netcore,maddieclayton,10
276,azure ps team| netcore,markcowl,4
277,azure ps team| netcore,markcowl| miyanni,1
278,azure ps team| netcore,markcowl| sphibbs,2
279,azure ps team| netcore,miyanni,18
280,azure ps team| netcore,sphibbs,1
281,azure ps team| netcore,twitchax,1
282,azure ps team| netcore,twitchax| miyanni,1
283,azure ps team| netcore,unknown,3
284,azure ps team| netcore| pull request open,maddieclayton,2
285,azure ps team| netcore| ramp up,cormacpayne,1
286,azure ps team| netcore| versioning,cormacpayne,1
287,azure ps team| netcore| versioning,markcowl,1
288,azure ps team| netcore| versioning,markcowl| bganapa,1
289,azure ps team| network| service attention,cormacpayne| praries880,1
290,azure ps team| network| service attention,mikhailtryakhov| praries880,1
291,azure ps team| p0,veryearly,1
292,azure ps team| pairing,cormacpayne,1
293,azure ps team| pairing,unknown,1
294,azure ps team| pairing| versioning,unknown,2
295,azure ps team| pull request open,maddieclayton,2
296,azure ps team| pull request open| test debt,cormacpayne,1
297,azure ps team| pull request open| test debt,maddieclayton,1
298,azure ps team| ramp up,maddieclayton,2
299,azure ps team| ramp up,miyanni,2
300,azure ps team| ramp up,unknown,1
301,azure ps team| ramp up,vladimir-shcherbakov,1
302,azure ps team| ramp up| sprint candidate,praries880,1
303,azure ps team| ramp up| versioning,miyanni,1
304,azure ps team| resource authorization,cormacpayne,1
305,azure ps team| resource authorization| service attention,unknown,1
306,azure ps team| service attention| storage,unknown,2
307,azure ps team| strategy library,sergey-shandar| praries880,1
308,azure ps team| test debt,maddieclayton,1
309,azure ps team| test debt,unknown,1
310,azure ps team| versioning,bganapa,1
311,azure ps team| versioning,cormacpayne,6
312,azure ps team| versioning,markcowl,2
313,azure ps team| versioning,unknown,7
314,azure ps team| versioning,viananth,1
315,azure stack,bganapa,1
316,azure stack,deathly809,2
317,azure stack| module bootstrapper| service attention,viananth,1
318,azure stack| module bootstrapper| service attention| versioning,viananth,1
319,azure stack| resource authorization| service attention,darshanhs90,1
320,azure stack| service attention,bganapa,18
321,azure stack| service attention,cormacpayne,1
322,azure stack| service attention,deathly809| bganapa,1
323,azure stack| service attention,deathly809| knithinc,5
324,azure stack| service attention,maddieclayton,1
325,azure stack| service attention,markcowl,1
326,azure stack| service attention,unknown,1
327,azure stack| service attention,viananth,1
328,azure stack| service attention| versioning,bganapa,1
329,azure stack| service attention| versioning,mtandon80,1
330,batch| doc - reference| service attention,matthchr,1
331,batch| service attention,brnleehng| matthchr,1
332,batch| service attention,matthchr,3
333,batch| service attention,unknown,1
334,blueprint| service attention,filizt,1
335,compute - extensions| service attention,danielsollondon,1
336,compute - extensions| service attention,mssedusch,1
337,compute - extensions| service attention| bug,danielsollondon,2
338,compute - extensions| service attention| bug,eshaparmar,1
339,compute - extensions| service attention| bug,eshaparmar| danielsollondon,1
340,compute - extensions| service attention| feature-request,eshaparmar,1
341,compute - extensions| service attention| test debt| feature-request,chhabaramesh,1
342,compute - images| service attention,hyonholee,1
343,compute - images| service attention,singhkays,1
344,compute - images| service attention| feature-request,unknown,1
345,compute - managed disks| service attention| bug,hyonholee| singhkays,1
346,compute - managed disks| service attention| feature-request,singhkays| chagarw,1
347,compute - vmss| service attention,hyonholee| praries880,1
348,compute - vmss| service attention| bug,alpon,1
349,compute - vmss| service attention| bug,ejarvi,1
350,compute - vmss| service attention| bug,hyonholee,2
351,compute - vm| doc - reference| service attention| feature-request,hyonholee,1
352,compute - vm| doc - reference| service attention| question,hyonholee,1
353,compute - vm| doc - reference| service attention| question,unknown,1
354,compute - vm| service attention,huangpf,1
355,compute - vm| service attention,hyonholee| praries880,1
356,compute - vm| service attention| bug,hyonholee,6
357,compute - vm| service attention| bug,koralski| hyonholee| savyasachisamal,1
358,compute - vm| service attention| bug,koralski| savyasachisamal,2
359,compute - vm| service attention| bug,unknown,1
360,compute - vm| service attention| test tsar| bug,hyonholee,1
361,compute| compute - extensions| pull request open| service attention,maddieclayton| danielsollondon,1
362,compute| compute - extensions| service attention,danielsollondon,1
363,compute| compute - managed disks| service attention,hyonholee,1
364,compute| compute - vm,hyonholee,1
365,compute| compute - vmss| service attention,praries880,1
366,compute| compute - vm| more info label| service attention,srjennings,1
367,compute| compute - vm| pull request open| service attention,maddieclayton,1
368,compute| compute - vm| service attention,hyonholee,2
369,compute| compute - vm| service attention,hyonholee| gbowerman,1
370,compute| compute - vm| service attention,hyonholee| maddieclayton,1
371,compute| compute - vm| service attention,hyonholee| praries880,1
372,compute| compute - vm| service attention,singhkays,1
373,compute| compute - vm| service attention| bug,hyonholee,1
374,compute| doc - reference| service attention,hyonholee,1
375,compute| doc - reference| service attention| question,hyonholee,1
376,compute| generator| pull request open,maddieclayton,1
377,compute| network| service attention,singhkays,1
378,compute| platform feature request| service attention,unknown,2
379,compute| service attention,huangpf,5
380,compute| service attention,hyonholee,17
381,compute| service attention,hyonholee| gbowerman,1
382,compute| service attention,hyonholee| huangpf,1
383,compute| service attention,hyonholee| huangpf| praries880,1
384,compute| service attention,hyonholee| singhkays,2
385,compute| service attention,maddieclayton,1
386,compute| service attention,markcowl,1
387,compute| service attention,nimishas,1
388,compute| service attention,singhkays,18
389,compute| service attention,unknown,46
390,compute| service attention| feature-request,alpon,1
391,compute| service attention| ps1xml,hyonholee| praries880,1
392,compute| service attention| question,hyonholee,1
393,compute| service attention| test debt| feature-request,hyonholee| huangpf,1
394,consumption| service attention,ms-premp,2
395,consumption| service attention| question,ms-premp,1
396,container registry| service attention,djyou,1
397,cosmos| service attention| customer-reported| feature-request,unknown,1
398,data factory| netcore| service attention,zhangyd2015,1
399,data factory| service attention,hvermis,1
400,data factory| service attention,jackmagic313| hvermis,2
401,data lake store| service attention,rahuldutta90,2
402,data lake| more info label| service attention,matt1883,1
403,data lake| netcore| service attention,matt1883| rahuldutta90,1
404,data lake| service attention,rahuldutta90,1
405,data lake| service attention,unknown,1
406,devtest labs| service attention,iouri-s| ryanvog,1
407,doc - conceptual,markcowl| sdwheeler,1
408,doc - conceptual| feature-request,dcaro,1
409,doc - internal,cormacpayne,1
410,doc - internal,sdwheeler,1
411,doc - internal| network| service attention,unknown,1
412,doc - reference,unknown,1
413,doc - reference| hdinsight| service attention| bug,idear1203| aim-for-better,1
414,doc - reference| monitor| service attention,gucalder| sdwheeler,1
415,doc - reference| network| service attention,anton-evseev,1
416,doc - reference| network| service attention,ritwikbasu,1
417,doc - reference| network| service attention,unknown,1
418,doc - reference| recovery services backup| service attention,dragonfly91,1
419,doc - reference| scheduler| service attention,derek1ee,1
420,doc - reference| service attention| storage,blueww,2
421,doc - reference| service attention| storage,sdwheeler,1
422,doc - reference| sql| service attention,giladmit,1
423,doc - reference| sql| service attention,jaredmoo,1
424,event hubs| service attention,v-ajnava,1
425,experiment microscope,markcowl,1
426,experiment microscope,sergey-shandar,3
427,functions| service attention,dcaro| ahmedelnably,1
428,generator| feature-request,miyanni,1
429,graph| resource authorization| service attention,darshanhs90,3
430,hdinsight| service attention,pattipaka,2
431,hdinsight| service attention,unknown,4
432,hdinsight| service attention| bug,idear1203| aim-for-better,1
433,hdinsight| service attention| bug,idear1203| epkalyanr,1
434,hdinsight| service attention| bug| customer-response-expected,idear1203,1
435,hdinsight| service attention| feature-request,idear1203,1
436,hdinsight| service attention| feature-request,idear1203| aim-for-better,1
437,investigate mag,cormacpayne,1
438,investigate mag,kringen,1
439,investigate mag,markcowl,2
440,investigate mag,unknown,2
441,investigate mag| more info label,markcowl,1
